"D35","43.9","32.5","23.5"
"D36","45.3","32.1","22.6"
"D37","37.7","40.6","21.7"
"D38","35.2","40.9","23.9"
"D39","30.2","36.9","32.9"
"D40","37.6","42.3","20.2"
"D41","37.9","45.1","17"
"D42","36.1","48.6","15.3"
"D43","39.3","35.3","25.4"
"D44","39.8","26.8","33.5"
"D45","38.5","37.2","24.4"
"D46","37.9","36.8","25.3"
"D47","35.1","37.6","27.2"
"D48","37.1","33.1","29.8"
"D49","40.2","36.5","23.3"
"D50","42.8","32.9","24.3"
"D51","42","29.3","28.7"
"D52","39.7","32","28.3"
"D53","42.3","35.8","21.9"
"D54","43.1","42.1","14.8"
"D55","37.6","42.3","20.1"
"D56","28.4","56.2","15.4"
"D57","31.1","51.7","17.2"
"D58","29","49.3","21.7"
"D59","20.8","53.4","25.8"
"D60","40.4","38.9","20.7"
"D61","43.4","37.6","18.9"
"D62","26.9","59.4","13.7"
"D63","40.6","42","17.4"
"D64","47.7","34.8","17.5"
"D65","37.2","46.5","16.3"
"D66","41","43.8","15.1"
"D67","35","52.7","12.3"
"D68","32.7","54.7","12.6"
"D69","27.6","58.9","13.4"
"D70","46.2","30.8","23"
"D71","37.6","39.8","22.7"
"D72","44.8","35.3","19.9"
"D73","34.6","42","23.4"
"D74","38.9","40.9","20.2"
"D75","31.3","45.5","23.2"
"D76","35.6","43.4","21"
"D77","34.3","43.8","21.9"
"D78","36.1","46","17.9"
"D79","26.9","56.6","16.5"
"D80","34.9","37.6","27.5"
"D81","39","34.6","26.3"
"D82","33.9","40.8","25.3"
"D83","34.4","41","24.6"
"D84","33.4","43.8","22.7"
"D85","35.3","37.5","27.2"
"D86","34.3","36.6","29.1"
"D87","36.1","35.7","28.2"
"D88","37.5","36.6","25.9"
"D89","35","33.8","31.1"
"D90","35.4","38","26.6"
"D91","33.9","37.6","28.5"
"D92","34.3","37.6","28.1"
"D93","29.7","37.7","32.6"
"D94","29.1","35.8","35.1"
"D95","36.5","37.8","25.7"
"D96","38","36.6","25.4"
"D97","36.5","37.8","25.7"
"D98","34","40.2","25.8"
"D99","39.7","34.9","25.4"
"E00","34.6","38.7","26.7"
"E01","36.8","40.1","23.1"
"E02","29.3","43.5","27.2"
"E03","31.9","44.7","23.4"
"E04","34.2","42.1","23.7"
"E05","48","33.9","18.1"
"E06","40.5","42","17.5"
"E07","46.8","36.3","17"
"E08","50.4","35.6","14"
"E09","46.9","37.1","16"
"E10","34.1","41.6","24.4"
"E11","35.6","40.7","23.6"
"E12","33.1","42.4","24.4"
"E13","36.1","32.5","31.3"
"E14","33","40.1","26.9"
"E15","31.4","46.3","22.3"
"E16","37.4","41.2","21.4"
"E17","32.4","50","17.7"
"E18","29","53.1","17.9"
"E19","26","56.5","17.5"
"E20","33.5","36.7","29.7"
"E21","34.2","36.8","29"
"E22","35.4","32.9","31.7"
"E23","36.7","37.7","25.6"
"E24","33.4","27.3","39.3"
"E25","33.3","40.5","26.2"
"E26","35.2","27.7","37.1"
"E27","34.6","24","41.4"
"E28","37.9","25.1","37"
"E29","32.2","30.4","37.4"
"E30","32.7","29.2","38.1"
"E31","29.3","37.1","33.6"
"E32","33.2","39.3","27.6"
"E33","36.5","33.6","29.9"
"E34","33.6","42.7","23.7"
"E35","34.8","42.2","23"
"E36","33.6","43.4","22.9"
"E37","33.4","49.2","17.4"
"E38","34.8","36.1","29.1"
"E39","29.2","43.7","27"
"E40","33.7","37.6","28.7"
"E41","34.7","37.7","27.7"
"E42","37.7","37.4","24.9"
"E43","34.8","34.1","31.2"
"E44","36.6","35","28.3"
"E45","33.7","36.2","30.1"
"E46","31.5","39.6","28.9"
"E47","32.2","40.3","27.5"
"E48","30.9","42","27.1"
"E49","36.3","30.3","33.3"
"E50","30.3","41.4","28.3"
"E51","32.2","40.7","27.1"
"E52","28.8","45.4","25.7"
"E53","29.6","45.3","25.2"
"E54","27.9","49.7","22.4"
"E55","24.1","51","24.9"
"E56","32.1","42.2","25.7"
"E57","50","42.3","7.7"
"E58","31.8","40.8","27.4"
"E59","31.5","42.9","25.6"
"E60","38.8","32.8","28.5"
"E61","39","32.1","29"
"E62","43.2","29.1","27.7"
"E63","37.6","35.9","26.5"
"E64","42.4","33","24.6"
"E65","43","34.1","22.9"
"E66","42.9","30.2","26.9"
"E67","41.5","31.5","26.9"
"E68","42.2","33.8","24"
"E69","45.7","32.1","22.2"
"E70","41.2","29.7","29.1"
"E71","47.1","27.2","25.7"
"E72","41","27.4","31.7"
"E73","42.2","31","26.8"
"E74","41.8","33.7","24.4"
"E75","38.2","35.8","26"
"E76","44.1","25.1","30.9"
"E77","37.6","29.6","32.8"
"E78","38.1","39.5","22.4"
"E79","36.9","43.3","19.8"
"E80","42.8","28","29.2"
"E81","42.3","27.7","30"
"E82","38.3","31.6","30.2"
"E83","38.2","27.7","34.1"
"E84","40","30.6","29.4"
"E85","44.6","26.8","28.6"
"E86","43.8","30.1","26"
"E87","43.8","26.6","29.6"
"E88","42.5","26.8","30.7"
"E89","36.8","32.1","31.1"
"E90","41.4","31.4","27.2"
"E91","40.2","32.1","27.7"
"E92","40.1","32.9","27.1"
"E93","39.6","28.4","32"
"E94","41.9","31.3","26.8"
"E95","37","36.3","26.7"
"E96","33.5","43.7","22.8"
"E97","43","29","28"
"E98","43.7","26.4","30"
"E99","40.9","30.6","28.4"
