B31,"Sicilian, Rossolimo Variation",14947,41.5,32.6,25.9
B32,Sicilian,110794,35.8,30.5,33.7
B33,Sicilian,57294,35.4,30.3,34.3
B34,"Sicilian, Accelerated Fianchetto",715,33.7,22.2,44.1
B35,"Sicilian, Accelerated Fianchetto, Modern Variation with Bc4",8902,36.8,31.5,31.6
B36,"Sicilian, Accelerated Fianchetto",11099,37.4,40.3,22.4
B37,"Sicilian, Accelerated Fianchetto",8921,40.6,36,23.4
B38,"Sicilian, Accelerated Fianchetto, Maroczy Bind, 6.Be3",8232,40.7,36.4,22.8
B39,"Sicilian, Accelerated Fianchetto, Breyer Variation",2798,42.5,34.3,23.2
B40,Sicilian,127180,34.9,31.3,33.9
B41,"Sicilian, Kan",39489,34.5,29.8,35.6
B42,"Sicilian, Kan",16163,37.5,32.2,30.3
B43,"Sicilian, Kan, 5.Nc3",19011,33.6,28.6,37.7
B44,Sicilian,31636,33.5,34.1,32.4
B45,"Sicilian, Taimanov",29300,35.7,34.4,29.9
B46,"Sicilian, Taimanov Variation",7727,37.4,34,28.7
B47,"Sicilian, Taimanov (Bastrikov) Variation",19683,33.5,34.8,31.7
B48,"Sicilian, Taimanov Variation",7633,34.5,32.4,33.1
B49,"Sicilian, Taimanov Variation",2286,31.1,32.4,36.5
B50,Sicilian,214490,37.1,29.4,33.5
B51,"Sicilian, Canal-Sokolsky (Rossolimo) Attack",21611,31.6,39.3,29.1
B52,"Sicilian, Canal-Sokolsky (Rossolimo) Attack",12567,32.2,42.3,25.5
B53,Sicilian,7853,38.3,30,31.7
B54,Sicilian,154110,38.2,28.4,33.4
B55,"Sicilian, Prins Variation, Venice Attack",485,40.6,29.7,29.7
B56,Sicilian,154706,37.8,28.5,33.7
B57,Sicilian,11468,35.5,28.1,36.4
B58,Sicilian,9025,29.6,31.2,39.1
B59,"Sicilian, Boleslavsky Variation, 7.Nb3",2361,22.4,31.4,46.2
B60,"Sicilian, Richter-Rauzer",20261,37.3,33.3,29.4
B61,"Sicilian, Richter-Rauzer, Larsen Variation, 7.Qd2",1622,37.5,35.3,27.2
B62,"Sicilian, Richter-Rauzer",16248,36.8,33.6,29.6
B63,"Sicilian, Richter-Rauzer Attack",14860,37.5,33.8,28.7
B64,"Sicilian, Richter-Rauzer Attack",1703,36.3,39.3,24.4
B65,"Sicilian, Richter-Rauzer Attack, 7...Be7 Defense, 9...Nxd4",865,35.5,40.8,23.7
B66,"Sicilian, Richter-Rauzer Attack, 7...a6",9733,36.8,32.9,30.3
B67,"Sicilian, Richter-Rauzer Attack, 7...a6 Defense, 8...Bd7",4997,37.3,31.2,31.4
B68,"Sicilian, Richter-Rauzer Attack, 7...a6 Defense, 9...Be7",985,38.9,32,29.1
B69,"Sicilian, Richter-Rauzer Attack, 7...a6 Defense, 11.Bxf6",407,40.3,35.4,24.3
B70,"Sicilian, Dragon Variation",34800,41.5,25.7,32.7
B71,"Sicilian, Dragon, Levenfish Variation",1361,45.8,22,32.1
B72,"Sicilian, Dragon",20843,44.3,25.3,30.4
B73,"Sicilian, Dragon, Classical",2458,30.5,31.3,38.2
B74,"Sicilian, Dragon, Classical",2171,33,30.4,36.7
B75,"Sicilian, Dragon, Yugoslav Attack",18833,45.4,25.1,29.5
B76,"Sicilian, Dragon, Yugoslav Attack",11706,46.2,24.2,29.6
B77,"Sicilian, Dragon, Yugoslav Attack",9939,45.2,23.1,31.7
B78,"Sicilian, Dragon, Yugoslav Attack, 10.castle long",5997,44.9,22,33.1
B79,"Sicilian, Dragon, Yugoslav Attack, 12.h4",676,48.4,25.3,26.3
B80,"Sicilian, Scheveningen",21616,37.3,30.1,32.6
B81,"Sicilian, Scheveningen, Keres Attack",4424,45,30.2,24.9
B82,"Sicilian, Scheveningen",1568,41.3,33.7,25
B83,Sicilian,6430,32.2,33.9,33.9
B84,"Sicilian, Scheveningen",9570,35.8,28.7,35.5
B85,"Sicilian, Scheveningen, Classical",224,43.3,27.7,29
B86,"Sicilian, Fischer-Sozin Attack",2052,35.6,25.4,38.9
B87,"Sicilian, Fischer-Sozin with ...a6 and ...b5",3490,35.1,26.6,38.2
B88,"Sicilian, Fischer-Sozin Attack",6130,37.2,26.9,35.9
B89,Sicilian,4256,39.7,26.3,34
B90,"Sicilian, Najdorf",89480,37.2,28.5,34.3
B91,"Sicilian, Najdorf, Zagreb (Fianchetto) Variation",3391,35.8,34.3,29.8
B92,"Sicilian, Najdorf, Opocensky Variation",19247,34,31.1,34.9
B93,"Sicilian, Najdorf, 6.f4",5885,38.6,30.9,30.5
B94,"Sicilian, Najdorf",19325,37.9,26,36.1
B95,"Sicilian, Najdorf, 6...e6",16679,38.1,25.8,36.1
B96,"Sicilian, Najdorf",13531,39.1,26.7,34.2
B97,"Sicilian, Najdorf",2938,32.3,33.7,34
B98,"Sicilian, Najdorf",5369,44.7,22.8,32.5
B99,"Sicilian, Najdorf, 7...Be7 Main line",3367,45.2,23.6,31.2
C00,French Defense,225269,38.7,30.8,30.6
C01,"French, Exchange",22625,27.2,38.6,34.3
C02,"French, Advance",30007,37.9,24.8,37.3
C03,"French, Tarrasch",55388,39.9,34.6,25.5
C04,"French, Tarrasch, Guimard Main line",2863,41,30.4,28.7
C05,"French, Tarrasch",22564,43.5,28.5,28
C06,"French, Tarrasch",8341,40.3,32.7,27
C07,"French, Tarrasch",15838,35.1,42.5,22.5
C08,"French, Tarrasch, Open, 4.ed ed",4735,33.3,45.7,20.9
C09,"French, Tarrasch, Open Variation, Main line",2695,35.3,47.2,17.5
C10,French,80934,40.6,31,28.3
C11,French,30585,39.4,31.5,29.1
C12,"French, McCutcheon",5054,38.3,30.2,31.5
C13,French,7509,46.1,25.7,28.2
C14,"French, Classical",3943,45.9,26.9,27.2
C15,"French, Winawer",39777,40.6,29.6,29.7
C16,"French, Winawer",28616,41.9,28.8,29.3
C17,"French, Winawer, Advance",19816,42.3,28.3,29.4
C18,"French, Winawer",13626,42.4,28.4,29.2
C19,"French, Winawer, Advance",11251,40.5,29.4,30.1
C20,King's Pawn Game,404934,41,30,29
C21,Center Game,6372,45.3,20.6,34
C22,Center Game,3101,45.1,20.5,34.4
C23,Bishop's Opening,15935,43.2,25.5,31.3
C24,Bishop's Opening,11142,41.7,27.1,31.2
C25,Vienna,17961,43.2,25.3,31.5
C26,Vienna,13070,40.7,26.4,33
C27,Vienna Game,804,35,26.9,38.2
C28,Vienna Game,3572,40.5,27.3,32.2
C29,Vienna Gambit,2823,37.3,25.8,36.9
C30,King's Gambit Declined,16179,47.1,19.2,33.8
C31,"King's Gambit Declined, Falkbeer Counter Gambit",2790,43.1,22,34.9
C32,"King's Gambit Declined, Falkbeer Counter Gambit",421,53.4,20.9,25.7
C33,King's Gambit Accepted,8584,44.1,19.5,36.4
C34,King's Gambit Accepted,6603,44.8,18.6,36.6
C35,"King's Gambit Accepted, Cunningham",796,43.1,19.7,37.2
C36,"King's Gambit Accepted, Abbazia Defense",1196,39,25.9,35.1
C37,King's Gambit Accepted,31,38.7,29,32.3
C38,King's Gambit Accepted,363,39.7,12.7,47.7
C39,King's Gambit Accepted,901,40.8,18.9,40.3
C40,King's Knight Opening,345964,40.5,31.2,28.3
C41,Philidor Defense,16051,47.1,23.8,29.1
C42,Petrov Defense,37647,39.5,36.8,23.8
C43,"Petrov, Modern Attack",5309,43.9,36.1,20.1
C44,King's Pawn Game,289979,40.1,31.1,28.8
C45,Scotch Game,27139,40.9,29.1,30.1
C46,Three Knights,25302,36.6,30.2,33.2
C47,Four Knights,8592,35.7,38,26.3
C48,Four Knights,11776,36.8,33.4,29.8
C49,Four Knights,4536,35.1,36.9,28
C50,Giuoco Piano,70415,42.5,24.1,33.3
C51,Evans Gambit,3692,47.6,18.8,33.6
C52,Evans Gambit,1469,45.2,19.5,35.3
C53,Giuoco Piano,15674,42.9,27.2,29.9
C54,Giuoco Piano,5097,41,25.3,33.7
C55,Two Knights Defense,28150,42.2,23.3,34.4
C56,Two Knights,1872,26.8,36.4,36.9
C57,Two Knights,7477,48.3,15.6,36.1
C58,Two Knights,3675,42.8,19.4,37.8
C59,Two Knights,1433,39.6,20.7,39.7
C60,Ruy Lopez,151365,38.5,35.9,25.6
C61,"Ruy Lopez, Bird's Defense",2446,49,24.1,26.9
