A89,2875,36.9,30.6,32.5
A90,5432,42.3,33.7,24
A91,1818,44.5,30.7,24.8
A92,1551,43.3,31.3,25.4
A93,554,49.6,33.2,17.1
A94,423,47.5,34.5,18
A95,762,41.6,30.6,27.8
A96,2466,44.4,31.2,24.4
A97,1444,44.1,31.6,24.3
A98,367,45,27.5,27.5
A99,443,51.9,29.3,18.7
B00,1703588,38.2,29.9,31.9
B01,61468,41,27.2,31.8
B02,40307,37.8,29,33.2
B03,21760,40.4,30.8,28.8
B04,12617,41,32.8,26.2
B05,5803,42.5,31,26.5
B06,51579,37.3,28.1,34.5
B07,55390,40.7,29.5,29.8
B08,9998,35.8,32.9,31.3
B09,9469,43.2,28.3,28.5
B10,121780,37.3,33.1,29.6
B11,4465,35.7,35.1,29.2
B12,98036,37.3,33.6,29.1
B13,25989,35.4,34.5,30.2
B14,8979,38.2,35.2,26.6
B15,29879,35.5,36.1,28.4
B16,3820,39.5,29.6,30.9
B17,10959,36,39,25
B18,20455,33.8,39.4,26.7
B19,8797,33.9,43.2,23
B20,705205,36.1,29.7,34.2
B21,7647,34,25.3,40.7
B22,55019,34.9,32.9,32.2
B23,75601,35.8,27.1,37.1
B24,21467,32.4,29.2,38.4
B25,13471,30.3,31.4,38.3
B26,6719,30.7,30.3,39
B27,532064,36.5,30.2,33.4
B28,8172,37.1,26,37
B29,4839,39,30.8,30.3
B30,165947,36.7,30.5,32.8
B31,14947,41.5,32.6,25.9
B32,110794,35.8,30.5,33.7
B33,57294,35.4,30.3,34.3
B34,715,33.7,22.2,44.1
B35,8902,36.8,31.5,31.6
B36,11099,37.4,40.3,22.4
B37,8921,40.6,36,23.4
B38,8232,40.7,36.4,22.8
B39,2798,42.5,34.3,23.2
B40,127180,34.9,31.3,33.9
B41,39489,34.5,29.8,35.6
B42,16163,37.5,32.2,30.3
B43,19011,33.6,28.6,37.7
B44,31636,33.5,34.1,32.4
B45,29300,35.7,34.4,29.9
B46,7727,37.4,34,28.7
B47,19683,33.5,34.8,31.7
B48,7633,34.5,32.4,33.1
B49,2286,31.1,32.4,36.5
B50,214490,37.1,29.4,33.5
B51,21611,31.6,39.3,29.1
B52,12567,32.2,42.3,25.5
B53,7853,38.3,30,31.7
B54,154110,38.2,28.4,33.4
B55,485,40.6,29.7,29.7
B56,154706,37.8,28.5,33.7
B57,11468,35.5,28.1,36.4
B58,9025,29.6,31.2,39.1
B59,2361,22.4,31.4,46.2
B60,20261,37.3,33.3,29.4
B61,1622,37.5,35.3,27.2
B62,16248,36.8,33.6,29.6
B63,14860,37.5,33.8,28.7
B64,1703,36.3,39.3,24.4
B65,865,35.5,40.8,23.7
B66,9733,36.8,32.9,30.3
B67,4997,37.3,31.2,31.4
B68,985,38.9,32,29.1
B69,407,40.3,35.4,24.3
B70,34800,41.5,25.7,32.7
B71,1361,45.8,22,32.1
B72,20843,44.3,25.3,30.4
B73,2458,30.5,31.3,38.2
B74,2171,33,30.4,36.7
B75,18833,45.4,25.1,29.5
B76,11706,46.2,24.2,29.6
B77,9939,45.2,23.1,31.7
B78,5997,44.9,22,33.1
B79,676,48.4,25.3,26.3
B80,21616,37.3,30.1,32.6
B81,4424,45,30.2,24.9
B82,1568,41.3,33.7,25
